,Answers,BERT,DistilBERT,Gold_1,Gold_2,BERT_METEOR,DistilBERT_METEOR,BERT_GLEU,DistilBERT_GLEU
250,"['central and eastern us', 'central and eastern']",central & eastern,central & eastern,central and eastern us,central and eastern,0.3779527559055118,0.3779527559055118,0.3333333333333333,0.3333333333333333
257,"['the white house', 'the white house']",the white house,the white house,the white house,the white house,0.8875013295249914,0.8875013295249914,1.0,1.0
259,"['the red cross', 'red cross']",red cross,red cross,the red cross,red cross,0.5996383004580546,0.5996383004580546,1.0,1.0
262,"[""the lakers' jim buss"", 'jim buss']",jim buss,jim buss,the lakers' jim buss,jim buss,0.4654650895820811,0.4654650895820811,1.0,1.0
266,"['that they had it good with obama', 'how good we had it']",how good we had it,maybe this country needs a trump presidency,that they had it good with obama,how good we had it,0.36254354692506235,0.0,1.0,0.0
274,"['he had a great time', 'great']",great time,great time,he had a great time,great,0.3803574772657186,0.3803574772657186,0.3333333333333333,0.3333333333333333
275,"['that it was the right decision', 'it was right']",this is the right decision,the right decision,that it was the right decision,it was right,0.45826230440188886,0.49033222625690137,0.3333333333333333,0.3333333333333333
276,"['the right coach', 'the right coach']",the right coach,the right coach,the right coach,the right coach,0.8875013295249914,0.8875013295249914,1.0,1.0
278,"['new addition zamboni', 'peeps zamboni']",the new addition to the # peeps zamboni,new addition to the # peeps zamboni,new addition zamboni,peeps zamboni,0.6076046280111173,0.6383080533627428,0.18181818181818182,0.2222222222222222
280,"['the radio station', 'the radio station']",the radio station,lindsay ell,the radio station,the radio station,0.8875013295249914,0.0,1.0,0.0
283,"['the national anthem', 'national anthem']",the national anthem,the national anthem,the national anthem,national anthem,0.8875013295249914,0.8875013295249914,1.0,1.0
286,"['5 years ago', 'five years']","september 7 , 2017",5 years,5 years ago,five years,0.0,0.5996383004580546,0.0,0.5
288,"['instyle opening the conversation', 'instyle opening a conversation']",opening this convo,thank u 4,instyle opening the conversation,instyle opening a conversation,0.1889763779527559,0.0,0.1,0.0
289,"['it is beautiful', ""it's beautiful""]",beautiful,an important 1 that needs to be had,it is beautiful,it's beautiful,0.27480916030534347,0.0,0.3333333333333333,0.0
291,"['sounds like autotune', 'sounds like autotune']",sounds like autotune,kanye only sounds like autotune,sounds like autotune,sounds like autotune,0.8875013295249914,0.7877230735428918,1.0,0.42857142857142855
300,"['the mayor of london', 'mayor of london']",mayor of london,mayor of london,the mayor of london,mayor of london,0.6988199445078672,0.6988199445078672,1.0,1.0
301,"['left wing students', 'left wing']",left wing,left wing,left wing students,left wing,0.5996383004580546,0.5996383004580546,1.0,1.0
302,"['a culture of violence', 'violence']",violence,left wing students threaten a professor . will media decry this culture of violence,a culture of violence,violence,0.20991253644314864,0.5711808895888588,1.0,0.15217391304347827
303,"['speeches like this', 'speeches']",speeches,speeches,speeches like this,speeches,0.27480916030534347,0.27480916030534347,1.0,1.0
306,"['she was moving money around.', 'cashed her 80m-check and transferred 53m into a joint account']",cashing my 80 million video game check & transferring 53 million into our joint account,cashing my 80 million video game check,she was moving money around.,cashed her 80m-check and transferred 53m into a joint account,0.0,0.0,0.08,0.0
312,"['michael dal colle', 'michael dal colle']",michael dal colle,michael dal colle,michael dal colle,michael dal colle,0.8875013295249914,0.8875013295249914,1.0,1.0
317,"['rock the casbah', 'rock the casbah']",rock the casbah,rock the casbah,rock the casbah,rock the casbah,0.8875013295249914,0.8875013295249914,1.0,1.0
328,"['beauty and the beast', 'beauty and the beast']",beauty and the beast,beauty and the beast,beauty and the beast,beauty and the beast,0.9113970384220804,0.9113970384220804,1.0,1.0
334,"['coldplay for 5 minutes of leftshark', 'coldplay']",coldplay for five minutes of @ leftshark,five minutes of @ leftshark,coldplay for 5 minutes of leftshark,coldplay,0.8602597701373099,0.580028786329478,0.5,0.3333333333333333
342,"['martin luther king', 'martin luther king']",martin luther king,martin luther king,martin luther king,martin luther king,0.8875013295249914,0.8875013295249914,1.0,1.0
348,"['charlie bartlett and house of d', 'charlie bartlett']",charlie bartlett and house of d,charlie bartlett,charlie bartlett and house of d,charlie bartlett,0.9367162081329405,0.32156176036013995,1.0,1.0
350,"['a wealthy nation', 'wealthy nation']",a wealthy nation,a wealthy nation,a wealthy nation,wealthy nation,0.8875013295249914,0.8875013295249914,1.0,1.0
351,"['the r word', 'r word']",r - word,allyslikeastar,the r word,r word,0.48,0.0,1.0,0.0
353,"['a lot of himself', 'of myself']",myself,myself,a lot of himself,of myself,0.0,0.0,0.3333333333333333,0.3333333333333333
356,"['for his resignation', 'for his resignation.']",resignation,his resignation,for his resignation,for his resignation.,0.27480916030534347,0.5996383004580546,0.16666666666666666,0.5
357,"['new york times', 'new york times']",today,preetbharara,new york times,new york times,0.0,0.0,0.0,0.0
363,"['royal air force.', 'the royal air force.']",royalairforce,the queen & members of the royal family,royal air force.,the royal air force.,0.0,0.18227848101265823,0.0,0.13636363636363635
365,"['a print dress.', 'kukkatori print dress.']",kukkatori print,kukkatori print,a print dress.,kukkatori print dress.,0.2562277580071174,0.2562277580071174,0.5,0.5
376,"['her bar routine', 'her best bar routine yet']",her best bar routine,bar routine,her bar routine,her best bar routine yet,0.752363097380537,0.5996383004580546,0.7142857142857143,0.5
382,"['to see john legend', 'listening to john legend']",just arrived in london @ johnlegend takes it slow in the station,make it loud,to see john legend,listening to john legend,0.0,0.0,0.0,0.0
383,"['the predators scored 3 goals.', '3 goals']",3,3,the predators scored 3 goals.,3 goals,0.16981132075471694,0.16981132075471694,0.3333333333333333,0.3333333333333333
384,"['2:19 time span.', 'they scored in 2:19']",2 : 19,2 : 19 span,2:19 time span.,they scored in 2:19,0.0,0.0,0.0,0.16666666666666666
391,"['a lot of gilmore girls.', 'gilmore girls']",gilmore girls,gilmore girls happy,a lot of gilmore girls.,gilmore girls,0.16252821670428894,0.15584415584415584,1.0,0.5
392,"['martin luther king', 'mlk']",# mlk # mlkday,tyrabanks,martin luther king,mlk,0.0,0.0,0.3333333333333333,0.0
393,"['martin luther king day', 'mlk day']",mlkday,"january 20 , 2014",martin luther king day,mlk day,0.0,0.0,0.0,0.0
395,"['kevin durant and deandre jordan', 'kevin durant and deandre jordan']",@ kdtrey5 and @ deandrejordan6,nbc olympics,kevin durant and deandre jordan,kevin durant and deandre jordan,0.14400000000000002,0.0,0.07142857142857142,0.0
398,"['male ( he , his )', 'male ( he , his )']",@ grandeflicker,grandeflicker,"male ( he , his )","male ( he , his )",0.0,0.0,0.0,0.0
403,"['houston and brown', 'bobbi kristina']",houston and brown,houston and brown,houston and brown,bobbi kristina,0.8875013295249914,0.8875013295249914,1.0,1.0
407,"['her words mean nothing to him', 'not at all']",nothing,your words mean nothing to us,her words mean nothing to him,not at all,0.14257425742574256,0.6075980256147202,0.05555555555555555,0.5555555555555556
410,"['he is making things worse', 'up']",worse,when you think things can ' t get any worse,he is making things worse,up,0.16981132075471694,0.24201680672268908,0.07142857142857142,0.06666666666666667
412,"['star wars fans', 'fans']",starwars,starwars,star wars fans,fans,0.0,0.0,0.0,0.0
414,"['moving out of the 1st pick', 'moving out of 1st pick']",moving out of the 1st pick,moving out of the 1st pick,moving out of the 1st pick,moving out of 1st pick,0.9367162081329405,0.9367162081329405,1.0,1.0
418,"['womens us hockey program', 'mike eruzione']",mike eruzione,mike eruzione,womens us hockey program,mike eruzione,0.0,0.0,1.0,1.0
422,"['what martin luther king jr would have done', 'on martin luther king jr.']",what martin luther king jr . would have done,"john lewis , john friggin lewis , on what martin luther king jr . would have done",what martin luther king jr would have done,on martin luther king jr.,0.8902535173842057,0.7508935434991394,1.0,0.52
423,"['justine bieber is here', 'justin bieber live']",@ justinbieber,surprise ! @ justinbieber,justine bieber is here,justin bieber live,0.0,0.0,0.0,0.0
424,"[""justin beiber's set live"", 'teen awards']",bbc radio 1,his set live right now,justin beiber's set live,teen awards,0.0,0.4021440630756882,0.0,0.21428571428571427
431,"['get it online', 'demonstrate hatred towards mascot victim']",get my # mets tattoo,get my # mets tattoo,get it online,demonstrate hatred towards mascot victim,0.21301775147928995,0.21301775147928995,0.1,0.1
432,"['an all female cast', 'all female']",all - female cast,all - female,an all female cast,all female,0.6000095701609782,0.3779527559055118,0.6,1.0
438,"['mess with me', 'u mess with madonna']",cruelty never made anyone a winner,you ' re messing with me ! ! ! cruelty never made anyone a winner,mess with me,u mess with madonna,0.0,0.6382513728360354,0.0,0.07894736842105263
440,"['an mk purse', 'mk purse']",an mk purse,an mk purse,an mk purse,mk purse,0.8875013295249914,0.8875013295249914,1.0,1.0
443,"['bon jovi in rock hall.', 'bon jovi in rockhall!']",us to be in the rock hall,us to be in the rock hall,bon jovi in rock hall.,bon jovi in rockhall!,0.2676579925650558,0.2676579925650558,0.18181818181818182,0.18181818181818182
444,"['votes, posts, and videos.', 'fans votes, posts, and videos']","your votes , posts , and videos","your votes , posts , and videos","votes, posts, and videos.","fans votes, posts, and videos",0.15754923413566738,0.15754923413566738,0.7142857142857143,0.7142857142857143
446,"['will play on trip', 'drouin will play on the trip']",drouin will play on the trip,drouin will play on the trip # tblightning,will play on trip,drouin will play on the trip,0.7693989151996042,0.7079763127256863,1.0,0.8181818181818182
454,"['a country album', 'a country album']",country,country,a country album,a country album,0.27480916030534347,0.27480916030534347,0.16666666666666666,0.16666666666666666
455,"['the canadian anthem', 'the canadian anthem']",the canadian anthem,canadian anthem,the canadian anthem,the canadian anthem,0.8875013295249914,0.5996383004580546,1.0,0.5
456,"['held up all lives matter card.', 'sang the canadian anthem']","held "" all lives matter "" card up",singing the canadian anthem,held up all lives matter card.,sang the canadian anthem,0.640092957306465,0.0,0.6666666666666666,0.6
460,"['eyes to see', 'eyes to see']",eyes,eyes,eyes to see,eyes to see,0.27480916030534347,0.27480916030534347,0.16666666666666666,0.16666666666666666
463,"['stay in your seat kanye', '""stay in your seat, kanye"" jokes']",""" stay in your seat , kanye """,""" stay in your seat , kanye """,stay in your seat kanye,"""stay in your seat, kanye"" jokes",0.7801810108490377,0.7801810108490377,1.0,1.0
464,"[""revisiting wayne's worls in 2015"", ""wayne's world""]",revisiting wayne ' s world,""" stay in your seat , kanye """,revisiting wayne's worls in 2015,wayne's world,0.14400000000000002,0.12926391382405747,0.1,0.07142857142857142
469,"['squeeze tiny fingers', 'to hold your little girl']","see you , hold your little girl and squeeze her tiny fingers + toes",to see you,squeeze tiny fingers,to hold your little girl,0.47152029089271374,0.0,0.23809523809523808,0.07142857142857142
471,"['victory for the nets', 'a win']",we win,"they didn ’ t think it was , so we win",victory for the nets,a win,0.0,0.0,0.3333333333333333,0.029411764705882353
476,"['beauty and the beast', 'beauty and the beast']",# beautyandthebeast,beautyandthebeast,beauty and the beast,beauty and the beast,0.0,0.0,0.0,0.0
477,"['a gay moment', 'a gay moment']",gay,gay moment,a gay moment,a gay moment,0.27480916030534347,0.5996383004580546,0.16666666666666666,0.5
479,"['a great start', 'a great start']",great,great start,a great start,a great start,0.27480916030534347,0.5996383004580546,0.16666666666666666,0.5
497,"['post about larry', 'make this about larry']",make this about larry,larry,post about larry,make this about larry,0.5282080326918914,0.27480916030534347,1.0,0.16666666666666666
498,"['starwars concert attendees', 'starwars concert attendees']",the giant herd of # starwars concert,giant herd of # starwars concert attendees,starwars concert attendees,starwars concert attendees,0.44813394262955686,0.7081127629188761,0.16666666666666666,0.3333333333333333
499,"['going to show', 'attendee']",making our way to show,making our way to show,going to show,attendee,0.49851586517370816,0.49851586517370816,0.21428571428571427,0.21428571428571427
503,"['a copy of tapes', 'the tapes']",a copy,a copy,a copy of tapes,the tapes,0.4654650895820811,0.4654650895820811,0.3,0.3
505,"['1000s of fans', '1000s']",1000s,1000s,1000s of fans,1000s,0.27480916030534347,0.27480916030534347,1.0,1.0
508,"['planned parenthood and ocare', 'planned parenthood and ocare']",planned parenthood & ocare,planned parenthood & ocare,planned parenthood and ocare,planned parenthood and ocare,0.6000095701609782,0.6000095701609782,0.4,0.4
510,"['hbo done with nhl', 'hbo is done with nhl']",hbo is done w / the nhl in terms of producing a 24 / 7 series,hbo is done w / the nhl,hbo done with nhl,hbo is done with nhl,0.34394904458598735,0.47264770240700216,0.14,0.3888888888888889
511,"['a 24/7 series', 'a 24/7 series']",a 24 / 7 series,a 24 / 7 series,a 24/7 series,a 24/7 series,0.4260355029585799,0.4260355029585799,0.2,0.2
512,"['a free pass', 'free pass to laugh at misfortune']",free pass,a free pass,a free pass,free pass to laugh at misfortune,0.5996383004580546,0.8875013295249914,0.5,1.0
514,"['the covfefe of strangers', 'covfefe of strangers']",the covfefe of strangers,covfefe of strangers,the covfefe of strangers,covfefe of strangers,0.9113970384220804,0.6988199445078672,1.0,1.0
522,"['george r.r. martin', 'george r.r. martin']",george r . r . martin,klye klgrlaen,george r.r. martin,george r.r. martin,0.40336134453781514,0.0,0.2,0.0
523,"['a heart attack', 'heart attack']",heart attack,heart attack,a heart attack,heart attack,0.5996383004580546,0.5996383004580546,1.0,1.0
526,"['possession of controlled substance', 'possession of controlled substance']",possession of controlled substance while entering canada,possession of controlled substance,possession of controlled substance,possession of controlled substance,0.7977216966495233,0.9113970384220804,0.45454545454545453,1.0
528,"['say anything negative', 'say anything negative about curry']",say anything negative about curry . . or try to compare him to anybody,try to compare him to anybody,say anything negative,say anything negative about curry,0.5230852629813308,0.0,0.3333333333333333,0.0
529,"['enjoy the show', 'shutup and enjoy the show']",shutup and enjoy the show,try to compare him to anybody,enjoy the show,shutup and enjoy the show,0.7877230735428918,0.0,1.0,0.0
530,"['madison square garden', 'madison square garden']",madison square garden,madison square garden,madison square garden,madison square garden,0.8875013295249914,0.8875013295249914,1.0,1.0
